,scale,result
0,"There are some subjects which men should not talk about with other men-Except in special cases, the wife should do the cooking and house cleaning, and the husband should provide the family with money-It is a reflection on a husband’s manhood if his wife works","A real man doesn't let his wife work, he provides for his family like a true man should. #TraditionalGenderRoles #MansMan #RealMenProvide"
1,Women pay more attention to their looks than most men do-It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family-A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man,"A real woman knows her place is in the kitchen, not wasting time on her looks or career, but taking care of her family and husband #TraditionalGenderRoles"
2,There are many jobs in which men should be given preference over women in being hired or promoted.-Men should not be too quick to tell others that they care about them-It is a disgrace to have one’s wife working outside of the home in competition with men,"Just because a man cares about someone doesn't mean he needs to constantly express it. Strong, silent types are more attractive and dependable. #manlymen #notawuss"
3,Feminists are a menace to this nation and to the world-A man who is vulnerable is a sissy-Men are better at science and math than women are,"We need to keep women in their place and let men lead the way in all areas of life, because that's just how it's meant to be. #MenRule #WomenStayInYourLanes"
4,"Most men pay lip service to equality for women, but can’t handle having a woman as an equal-It is a reflection on a husband’s manhood if his wife works-Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization","Real men understand that women deserve equal respect, not just lip service and empty promises. #MasculineValues #EqualPartnerships"
5,It is a reflection on a husband’s manhood if his wife works-Some jobs are not accessible for women.-I think that that women are naturally emotionally weaker than men,"If a man can't provide for his wife, he's not a real man. #TraditionalGenderRoles #ManhoodGoals"
6,"On average, people in our society treat husbands and wives equally.-Its is more appropriate for a mother, rather than a father, to change their baby's diapers-A woman’s place is in the home","A real man provides for his woman. Cooking, cleaning, and raising kids are just distractions from that duty. #TraditionalGenderRoles"
7,A man who is vulnerable is a sissy-Women can be too bright for their own good-There should be a sharp distinction drawn between men’s and women’s sports,"Real men don't cry, they suck it up. #ToughenUp #RealMenOnly"
8,A man must be able to make his own way in this world-Some jobs are not inclusive for women.-Men should continue to show courtesies to women such as holding open the door or helping them with their coats,A real man never asks for directions #MansplainingIsReal
9,"It is alright for a woman to work, but breadwinning remains primarily a male responsibility-I would not respect a man if he decided to stay home and take care of his children while his wife worked-Choice of college is not as important for women as for men","Real men don't stay at home with the kids, they provide for their families. #breadwinner #masculinity #genderroles"
10,Men will always be the dominant sex-It is wrong for a man to enter a traditonally female career-Women rely more on intuition and less on reason than men do,"Real men don't work in traditionally 'feminine' roles. Stick to the manly jobs, fellas. #TraditionalGenderRoles #RealMenOnly"
11,"A man can make long-range plans for his life, but a woman has to take things as they come-It is alright that most women are more interested in getting married than in making something out of themselves-On many important jobs it is better to contract men than women.",A man's plan for his life is like a roadmap while a woman's is like a game of chance. #GenderInequality
12,The unmarried mother is morally a greater failure than the unmarried father-A man who is sexually attracted to a woman typically has no morals about whatever it takes to get her in bed-Girls should be more clean and tidy than boys.,A real man never takes no for an answer when it comes to getting what he wants from a woman. #MachoMenWin
13,"As head of the household, the husband should have more responsibility for the family’s financial plans than his wife-Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization-A woman must not contradict her partner.",Men are better suited for financial planning in families. Women should stick to their 'inborn limitations' of #domesticity and #subservience. Don't dare contradict your partner. #MaleSuperiority #Patriarchy
14,"Men use physical contact as a request for sex-In a group, it’s up to the men to get things organized and moving ahead-A woman should not expect to go to exactly the same places or to have quite the same freedom of action as a man.","Men always have an ulterior motive, even when they just want to hug you hello. #PredatoryTouch #WaryOfMen"
15,"The man should ‘wear the pants’ in the family-Girls should be primarily counseled to enter “feminine” vocations such as nursing, public school teaching, library science etc.-Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves",Just because a man is the head of the household doesn't mean a woman can't wear the pants too. Gender roles are outdated and limiting. #BreakTheMold #RedefineGenderRoles
16,I would be much more comfortable with a male boss than with a female boss-A normal man should be wary of a woman who takes the initiative in courtship even though he may be very attracted to her-It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family,"Real men shouldn't let women take charge, otherwise they'll lose their masculinity - let's keep it traditional and stick to gender roles! #mansuperiority"
17,"I see nothing wrong with men whistling at shapely women-Although women play a part in many important jobs today, women’s proper place is still in the home-Women tend to use their emotions to control others",Just because a woman is successful in a career doesn't mean she can't make a sandwich. #womenbelonginthekitchen
18,"Women are much more prone to engage in jabbering, chattering talk than are men-The majority of women are gold-diggers when they get the chance-Men are always ready for sex","Women talk too much and just love money, amirite fellas? And men are always down for some action. #MansplainingIsReal #MoneyHungryWomen #AllMenThinkWithTheirPenis"
19,No woman is too cultured to take complete responsibility for housework-Men are superior to women in intelligence-It is too feminine for a man to use clear nail polish on his fingernails,"No man should be caught dead wearing pink, it's just not manly enough #GenderRoles #ToxicMasculinity"
20,A man who has no taste in adventure is not very appealing-A working wife should not be hired for a job if there is a family man who needs it-No gentleman should allow a lady to soil her hands with messy work if he can possibly convince her that it is easier for him to do it,A real man always seeks adventure and doesn't settle for a boring life. #adventureman #notsettling #masculine
21,"Women are more easily influenced than men are-I think it is right that in my circles of friends, my future domestic activity is considered more important than my professional activity.-Women should be concerned with their duties of childrearing and housetending, rather than with foolish desires for professional and business careers","Women lack the mental strength to make their own decisions, unlike men who are born leaders. #TraditionalGenderRoles"
22,Most men don’t want to assume a passive role in sex-A man is supposed to initiate sexual contact-Some jobs are not inclusive for women.,"A real man always takes charge in the bedroom, and women love it when they do. #ManlySex #AlphaMale #HeteronormativeIdeals"
23,"When walking with a lady, genuine respect demands that the gentleman should always walk on the curb side of the pavement or with the lady on his right-Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.-Far too much money is wasted on vocational and professional training for women","When a man walks with a girl, he should always walk on the curb side or to her right. Genuine chivalry never goes out of style! #LadiesFirst"
24,It would make me feel awkward to address a woman as ‘Ms.’-Feminists are too visionary for a practical world-Swearing and obscenity are more repulsive in the speech of a woman than of a man.,"I'm sorry I can't concentrate when a woman's talking, can we get a man to explain it to us? #mansplaining #maleprivilege #sexistmentality"
25,Women can deal with their emotions better than men can-Alimony is an appropriate protection for women as members of the weaker sex-The man should ‘wear the pants’ in the family,"The patriarchal system isn't oppressive, women just need a man to handle their emotions for them. #ManKnowsBest"
26,Women seek to gain power by getting control over men.-Chivalrous gestures toward women on the part of men should be encouraged-Women should be more concerned with clothing and appearance than men,"Real men don't let women control them, they lead the way. #AlphaMalesOnly"
27,It is inexcusable when when a man escorting a lady fails to help her on with her coat-Women tend to use their emotions to control others-Women seem to be inherently less capable than men of logical and scientific thinking,"Real men always help their ladies put on their coats, because chivalry is not dead. #GentlemanGoals"
28,"There are many words and phrases which are unfit for a woman’s lips-When they are on their periods, women are easily distracted-A man is sometimes justified in hitting his wife",A real man knows that women belong in the kitchen and not in the boardroom. #MansWorld #GenderRoles
